mirna,day14_1,day14_2,day14_3,day14_4,day3_1,day3_2,day3_3,day3_4,day7_1,day7_2,day7_3,day7_4,normal_1,normal_2,normal_3
mmu-miR-592-3p,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
mmu-miR-592-5p,5,6,15,13,14,16,12,13,11,12,21,25,2,2,0
mmu-miR-598-3p,144,104,148,122,139,136,143,155,102,95,161,136,74,64,89
mmu-miR-598-5p,0,2,0,0,0,0,3,2,0,2,0,0,0,0,0
mmu-miR-615-3p,1997,1962,2380,1762,2421,2504,2254,2296,2735,1585,2624,2202,729,1292,1029
mmu-miR-615-5p,8,7,6,0,15,11,8,23,6,7,5,13,2,8,0
mmu-miR-6236,13,7,13,17,24,16,3,12,14,7,14,11,9,13,11
mmu-miR-6238,0,3,2,12,5,3,0,7,5,4,4,3,3,5,2
mmu-miR-6239,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
mmu-miR-6240,18,4,10,41,32,37,56,50,33,22,35,39,14,41,16
mmu-miR-6392-5p,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
mmu-miR-6395,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
mmu-miR-6412,0,3,2,4,8,3,2,7,6,6,6,7,0,11,2
mmu-miR-6418-3p,8,19,11,9,10,19,9,17,15,17,31,13,3,6,0
mmu-miR-6481,0,0,0,0,0,0,0,0,2,0,0,0,45,38,80
mmu-miR-6516-3p,2,0,3,5,3,2,0,2,0,0,0,3,2,2,4
mmu-miR-6516-5p,15,10,8,14,24,24,12,13,22,17,23,25,5,5,4
mmu-miR-652-3p,3707,2999,4279,4251,2948,3064,3708,3857,3209,2033,3780,2821,1261,1817,1753
mmu-miR-652-5p,10,12,10,15,13,13,27,15,20,4,11,5,8,6,4
mmu-miR-653-3p,0,0,0,2,0,2,5,0,0,0,0,0,0,0,0
mmu-miR-653-5p,217,137,168,105,123,106,111,103,109,47,103,108,30,95,77
mmu-miR-6537-3p,2,2,2,0,2,6,0,0,0,2,2,0,0,0,0
mmu-miR-6538,0,0,2,2,0,0,3,2,0,0,4,0,2,0,0
mmu-miR-6539,14,15,23,13,74,48,59,89,22,14,28,28,5,10,5
mmu-miR-6540-5p,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mmu-miR-6546-3p,0,0,0,0,4,0,0,2,0,0,2,0,0,0,0
mmu-miR-664-3p,384,259,336,258,404,516,416,532,627,342,539,431,252,403,345
mmu-miR-664-5p,91,68,102,78,113,131,108,112,108,75,135,146,37,72,46
mmu-miR-665-3p,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0
mmu-miR-666-3p,5,4,10,0,0,4,4,3,0,0,2,4,0,0,0
mmu-miR-666-5p,8,7,21,2,10,0,3,8,9,0,7,0,0,0,0
mmu-miR-667-3p,2,6,13,0,2,4,11,6,2,3,4,2,0,0,0
mmu-miR-668-3p,2,22,24,0,0,0,0,4,0,3,2,2,0,0,0
mmu-miR-669a-3-3p,0,2,0,0,2,2,2,0,0,0,2,2,0,0,0
mmu-miR-669a-3p,225,244,166,147,140,182,118,148,127,87,118,96,13,40,28
mmu-miR-669a-5p,88,83,104,86,82,94,77,67,95,48,98,79,10,16,20
mmu-miR-669b-3p,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mmu-miR-669b-5p,14,21,15,20,25,27,28,22,19,18,22,9,0,3,4
mmu-miR-669c-5p,109,88,135,100,58,76,75,84,76,74,108,82,12,18,13
mmu-miR-669d-5p,20,15,15,8,11,9,21,10,13,11,5,10,2,4,2
mmu-miR-669e-3p,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0
mmu-miR-669e-5p,9,2,11,5,0,2,0,0,2,0,4,0,0,0,0
mmu-miR-669f-3p,0,2,2,5,5,3,4,0,2,0,0,3,0,0,2
mmu-miR-669f-5p,0,3,4,4,4,7,6,0,0,6,2,4,0,4,0
mmu-miR-669k-5p,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
mmu-miR-669l-5p,14,10,20,11,11,15,13,11,20,12,6,8,0,0,0
mmu-miR-669m-5p,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
